Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4
SPAC1002.02	pom34	viable	V	0.0	0.034	-0.144	0.021	-0.258
SPAC1002.03c	gls2	viable	V	0.0	0.16	-0.03	0.388	0.143
SPAC1002.04c	taf11	inviable	E	0.0	0.666	1.987	4.81	6.391
SPAC1002.05c	jmj2	viable	V	0.0	0.048	-0.122	-0.147	-0.122
SPAC1002.06c	bqt2	viable	V	0.0	0.077	-0.214	-0.23	0.256
SPAC1002.07c	SPAC1002.07c	viable	V	0.0	-0.057	0.008	-0.181	0.007
SPAC1002.08c	mtf1	inviable	E	0.0	0.139	0.735	2.932	4.449
SPAC1002.09c	dld1	inviable	E	0.0	-0.067	1.046	3.1	4.601
SPAC1002.10c	sgt1	inviable	E	0.0	2.099	4.919	5.678	6.476
SPAC1002.11	gaa1	inviable	E	0.0	1.35	3.872	5.312	6.123
SPAC1002.12c	ssd1	viable	V	0.0	-0.024	0.076	0.15	0.161
SPAC1002.13c	psu1	inviable	E	0.0	0.169	2.375	5.044	5.359
SPAC1002.14	itt1	viable	V	0.0	0.124	0.142	-0.022	-0.096
SPAC1002.15c	med6	viable	V	0.0	0.254	0.256	0.652	1.48
SPAC1002.16c	tna1	inviable	E	0.0	-0.001	-0.044	-0.029	0.052
SPAC1002.17c	urg2	viable	V	0.0	-0.18	0.29	-0.053	0.17
SPAC1002.18	urg3	viable	V	0.0	0.044	0.003	0.08	0.048
SPAC1002.19	urg1	viable	V	0.0	-0.063	-0.125	-0.043	-0.072
SPAC1002.20	SPAC1002.20	viable	V	0.0	0.021	-0.053	-0.135	-0.059
SPAC1006.01	psp3	viable	V	0.0	0.453	0.729	0.645	0.586
SPAC1006.03c	red1	viable	V	0.0	0.035	0.11	0.351	0.616
SPAC1006.04c	mcp3	viable	V	0.0	0.077	-0.116	-0.051	0.002
SPAC1006.05c	och1	viable	V	0.0	0.834	5.025	3.942	6.06
SPAC1006.06	rgf2	viable	V	0.0	-0.092	-0.271	-0.317	-0.272
SPAC1006.07	tif1	inviable	E	0.0	3.946	5.058	3.79	5.536
SPAC1006.08	etd1	condition-dependent	E	0.0	1.168	4.935	5.614	6.564
SPAC1006.09	win1	viable	V	0.0	0.023	0.125	0.232	0.298
SPAC1039.01	SPAC1039.01	viable	V	0.0	-0.127	-0.018	-0.054	0.008
