Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4
SPAC1002.02	pom34	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC1002.03c	gls2	viable	V	0.017	0.075	0.145	0.199	0.228
SPAC1002.04c	taf11	inviable	E	0.017	0.483	2.191	4.68	6.504
SPAC1002.05c	jmj2	viable	V	0.004	0.0	0.0	0.0	0.0
SPAC1002.06c	bqt2	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC1002.07c	SPAC1002.07c	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1002.08c	mtf1	inviable	E	0.0	0.02	0.762	2.921	4.453
SPAC1002.09c	dld1	inviable	E	0.0	0.058	1.009	3.126	4.582
SPAC1002.10c	sgt1	inviable	E	0.067	2.121	4.743	5.835	6.102
SPAC1002.11	gaa1	inviable	E	0.073	1.392	3.746	5.421	6.098
SPAC1002.12c	ssd1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC1002.13c	psu1	inviable	E	0.0	0.147	2.455	4.789	5.468
SPAC1002.14	itt1	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC1002.15c	med6	viable	V	0.0	0.006	0.175	0.792	1.413
SPAC1002.16c	tna1	inviable	E	0.003	0.0	0.0	0.0	0.0
SPAC1002.17c	urg2	viable	V	-0.01	-0.001	-0.0	-0.0	-0.0
SPAC1002.18	urg3	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1002.19	urg1	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1002.20	SPAC1002.20	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC1006.01	psp3	viable	V	0.046	0.386	0.609	0.678	0.693
SPAC1006.03c	red1	viable	V	0.001	0.028	0.159	0.389	0.578
SPAC1006.04c	mcp3	viable	V	0.009	0.001	0.0	0.0	0.0
SPAC1006.05c	och1	viable	V	0.007	1.321	4.104	5.371	5.665
SPAC1006.06	rgf2	viable	V	-0.02	-0.13	-0.232	-0.283	-0.301
SPAC1006.07	tif1	inviable	E	0.356	2.99	4.715	5.253	5.367
SPAC1006.08	etd1	condition-dependent	E	0.006	1.393	4.543	6.014	6.358
SPAC1006.09	win1	viable	V	0.026	0.083	0.158	0.237	0.295
SPAC1039.01	SPAC1039.01	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC1039.02	efn2	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1039.03	SPAC1039.03	viable	V	0.011	0.094	0.148	0.164	0.168
SPAC1039.04	SPAC1039.04	viable	V	0.004	0.001	0.0	0.0	0.0
SPAC1039.05c	klf1	viable	V	-0.005	-0.001	-0.0	-0.0	-0.0
SPAC1039.06	SPAC1039.06	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC1039.07c	SPAC1039.07c	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC1039.08	SPAC1039.08	viable	V	0.013	0.002	0.0	0.0	0.0
SPAC1039.09	isp5	viable	V	-0.015	-0.126	-0.199	-0.221	-0.226
SPAC1039.10	mmf2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1039.11c	gto1	viable	V	0.013	0.0	0.0	0.0	0.0
SPAC105.01c	kha1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC105.03c	dal81	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1071.01c	pta1	inviable	E	0.166	1.701	3.858	5.313	5.913
SPAC1071.02	mms19	viable	V	0.038	0.618	1.726	2.628	3.046
SPAC1071.03c	sil1	viable	V	0.0	0.0	0.0	0.068	0.89
SPAC1071.04c	spc2	viable	V	0.0	0.0	0.034	0.403	0.659
SPAC1071.05	hpm1	viable	V	0.025	0.208	0.328	0.365	0.373
SPAC1071.06	arp9	viable	V	0.045	0.148	0.283	0.422	0.521
