Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	R2	RMSE	normalized_RMSE	AIC	BIC
SPAC1002.02	pom34	viable	V	0.028	-0.002	-0.0	1.006	8.285	19.706	18.7	6.063	0.01	0.003	-0.371378	0.133	0.456614	-14.149	-15.321
SPAC1002.03c	gls2	viable	V	0.253	0.022	0.0	0.689	5.675	13.499	12.81	4.153	0.093	1.843	0.26555	0.127	0.30425	-14.622	-15.793
SPAC1002.04c	taf11	inviable	E	8.61	0.728	3.604	4.326	9.546	17.737	13.412	7.952	3.167	35.783	0.996578	0.144	0.022417	-13.348	-14.52
SPAC1002.05c	jmj2	viable	V	0.056	-0.003	0.0	1.006	8.285	19.706	18.7	6.063	0.021	0.006	-0.779413	0.104	0.531216	-16.673	-17.845
SPAC1002.06c	bqt2	viable	V	0.014	-0.002	0.0	0.364	3.001	7.138	6.773	2.196	0.005	0.001	-0.605589	0.118	0.466522	-15.408	-16.579
SPAC1002.07c	SPAC1002.07c	viable	V	-0.02	0.003	0.0	0.364	3.001	7.138	6.773	2.196	-0.007	-0.001	-0.400695	0.078	0.449194	-19.49	-20.662
SPAC1002.08c	mtf1	inviable	E	5.512	0.656	5.606	6.119	9.833	15.661	9.541	8.699	2.028	19.959	0.999015	0.055	0.012349	-23.015	-24.186
SPAC1002.09c	dld1	inviable	E	5.688	0.631	5.088	5.638	9.619	15.865	10.227	8.403	2.093	21.859	0.999	0.058	0.01243	-22.493	-23.664
SPAC1002.10c	sgt1	inviable	E	6.186	0.98	1.187	1.573	4.361	8.736	7.164	3.51	2.276	53.55	0.993874	0.184	0.029175	-10.906	-12.077
SPAC1002.11	gaa1	inviable	E	6.481	0.76	1.567	2.087	5.852	11.76	9.672	4.703	2.384	46.331	0.997165	0.124	0.019981	-14.865	-16.036
SPAC1002.12c	ssd1	viable	V	-0.04	0.002	0.0	1.006	8.285	19.706	18.7	6.063	-0.015	-0.005	-0.927042	0.105	0.565711	-16.571	-17.742
SPAC1002.13c	psu1	inviable	E	5.67	0.95	4.001	4.366	7.002	11.139	6.773	6.197	2.086	34.551	0.996931	0.126	0.023723	-14.715	-15.887
SPAC1002.14	itt1	viable	V	0.008	-0.001	0.0	0.363	2.989	7.11	6.747	2.188	0.003	0.0	-0.107223	0.095	0.399669	-17.526	-18.698
SPAC1002.15c	med6	viable	V	2.103	0.206	6.253	6.877	11.394	18.482	11.605	10.015	0.774	5.583	0.931617	0.136	0.091795	-13.962	-15.133
SPAC1002.16c	tna1	inviable	E	0.048	-0.008	0.0	0.365	3.006	7.151	6.786	2.2	0.018	0.002	-0.019851	0.033	0.345234	-28.069	-29.241
SPAC1002.17c	urg2	viable	V	-0.148	0.009	0.0	0.99	8.154	19.394	18.404	5.967	-0.054	-0.016	-0.072325	0.172	0.365904	-11.604	-12.776
SPAC1002.18	urg3	viable	V	-0.017	0.002	0.0	0.596	4.907	11.672	11.076	3.591	-0.006	-0.001	-1.354495	0.046	0.576946	-24.757	-25.929
