Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1002.01	mrx11	viable	V	0.0	-0.164	1.299	-0.671	0.632	0.313	0.426
SPAC1002.02	pom34	viable	V	0.0	0.424	-0.501	0.368	0.874	0.661	-0.076
SPAC1002.03c	gls2	viable	V	0.0	-0.103	0.256	0.518	0.829	0.941	0.937
SPAC1002.04c	taf11	inviable	E	0.0	0.291	2.414	3.422	5.394	5.06	4.026
SPAC1002.05c	jmj2	viable	V	0.0	-0.221	-0.25	-0.225	-0.449	-0.466	-0.51
SPAC1002.06c	bqt2	viable	V	0.0	0.294	0.467	-0.425	0.138	0.62	0.256
SPAC1002.07c	SPAC1002.07c	viable	V	0.0	0.4	0.559	0.807	0.849	0.825	1.54
SPAC1002.08c	mtf1	inviable	E	0.0	0.29	1.006	2.241	2.698	3.575	3.252
SPAC1002.09c	dld1	inviable	E	0.0	0.057	0.705	2.183	3.709	4.206	4.198
SPAC1002.10c	sgt1	inviable	E	0.0	2.037	3.532	4.032	4.428	4.438	4.702
SPAC1002.11	gaa1	inviable	E	0.0	1.947	3.919	4.458	4.089	4.466	4.495
SPAC1002.12c	ssd1	viable	V	0.0	0.22	0.004	0.161	0.426	0.032	-0.065
SPAC1002.13c	psu1	inviable	E	0.0	0.389	2.092	3.951	4.103	4.429	4.384
SPAC1002.14	itt1	viable	V	0.0	0.314	0.144	0.935	0.962	1.69	0.665
SPAC1002.15c	med6	viable	V	0.0	0.149	0.587	1.284	1.694	1.438	1.957
SPAC1002.16c	tna1	inviable	E	0.0	-0.25	0.001	0.099	-0.494	-0.54	-0.496
SPAC1002.17c	urg2	viable	V	0.0	-0.124	0.033	-0.579	-0.352	-0.208	-0.222
SPAC1002.18	urg3	viable	V	0.0	-0.094	0.043	0.241	0.174	0.321	0.493
SPAC1002.19	urg1	viable	V	0.0	-0.123	0.015	-0.214	-0.263	-0.155	-0.197
