Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1002.01	mrx11	viable	V	0.009	0.182	0.308	0.348	0.357	0.359	0.359
SPAC1002.02	pom34	viable	V	0.017	0.094	0.197	0.293	0.356	0.397	0.416
SPAC1002.03c	gls2	viable	V	0.0	0.022	0.226	0.57	0.798	0.917	0.959
SPAC1002.04c	taf11	inviable	E	0.0	0.311	2.29	3.961	4.547	4.73	4.771
SPAC1002.05c	jmj2	viable	V	-0.04	-0.121	-0.218	-0.32	-0.403	-0.472	-0.512
SPAC1002.06c	bqt2	viable	V	0.015	0.142	0.208	0.228	0.232	0.233	0.234
SPAC1002.07c	SPAC1002.07c	viable	V	0.108	0.284	0.496	0.734	0.946	1.141	1.27
SPAC1002.08c	mtf1	inviable	E	0.003	0.23	1.081	2.157	2.866	3.273	3.433
SPAC1002.09c	dld1	inviable	E	0.0	0.014	0.627	2.339	3.557	4.138	4.316
SPAC1002.10c	sgt1	inviable	E	0.165	1.962	3.518	4.209	4.427	4.499	4.516
SPAC1002.11	gaa1	inviable	E	0.061	2.03	3.728	4.292	4.421	4.453	4.459
SPAC1002.12c	ssd1	viable	V	0.008	0.074	0.108	0.119	0.121	0.121	0.121
SPAC1002.13c	psu1	inviable	E	0.0	0.289	2.216	3.746	4.241	4.384	4.414
SPAC1002.14	itt1	viable	V	0.0	0.001	0.242	0.828	1.074	1.144	1.157
SPAC1002.15c	med6	viable	V	0.0	0.122	0.652	1.249	1.575	1.73	1.781
SPAC1002.16c	tna1	inviable	E	-0.0	-0.0	-0.0	-0.079	-0.365	-0.528	-0.565
SPAC1002.17c	urg2	viable	V	-0.009	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1002.18	urg3	viable	V	0.006	0.037	0.098	0.184	0.27	0.351	0.404
SPAC1002.19	urg1	viable	V	-0.008	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1002.20	SPAC1002.20	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1006.01	psp3	viable	V	0.049	0.455	0.668	0.731	0.745	0.748	0.749
SPAC1006.02	asa1	inviable	E	0.065	0.825	1.411	1.637	1.699	1.718	1.722
SPAC1006.03c	red1	viable	V	0.032	0.582	1.35	1.846	2.054	2.14	2.167
SPAC1006.04c	mcp3	viable	V	0.034	0.139	0.258	0.361	0.428	0.472	0.493
SPAC1006.05c	och1	viable	V	0.0	0.044	0.934	2.287	2.909	3.129	3.183
SPAC1006.06	rgf2	viable	V	0.002	0.0	0.0	0.0	0.0	0.0	0.0
SPAC1006.07	tif1	inviable	E	0.132	1.217	1.788	1.955	1.992	2.002	2.003
SPAC1006.08	etd1	condition-dependent	E	0.029	1.759	3.583	4.226	4.376	4.413	4.42
SPAC1006.09	win1	viable	V	0.006	0.086	0.249	0.421	0.535	0.605	0.636
SPAC1039.01	SPAC1039.01	viable	V	0.0	0.0	0.0	0.0	0.024	0.849	1.633
SPAC1039.02	efn2	viable	V	0.025	0.203	0.317	0.359	0.37	0.374	0.374
SPAC1039.03	SPAC1039.03	viable	V	0.017	0.158	0.232	0.253	0.258	0.259	0.26
SPAC1039.04	SPAC1039.04	viable	V	0.003	0.0	0.0	0.0	0.0	0.0	0.0
SPAC1039.05c	klf1	viable	V	-0.012	-0.003	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1039.06	SPAC1039.06	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1039.07c	SPAC1039.07c	viable	V	0.007	0.0	0.0	0.0	0.0	0.0	0.0
SPAC1039.08	SPAC1039.08	viable	V	0.028	0.254	0.374	0.408	0.416	0.418	0.419
SPAC1039.09	isp5	viable	V	0.0	0.03	0.165	0.244	0.265	0.27	0.271
SPAC1039.10	mmf2	viable	V	-0.022	-0.206	-0.302	-0.331	-0.337	-0.338	-0.339
SPAC1039.11c	gto1	viable	V	-0.01	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC105.01c	kha1	viable	V	0.087	0.25	0.459	0.7	0.917	1.117	1.249
SPAC105.03c	dal81	viable	V	0.047	0.466	0.695	0.762	0.778	0.781	0.782
SPAC1071.01c	pta1	inviable	E	0.053	1.648	3.639	4.614	4.926	5.027	5.052
SPAC1071.02	mms19	viable	V	0.113	0.545	1.223	2.031	2.728	3.315	3.66
SPAC1071.03c	sil1	viable	V	0.03	0.276	0.405	0.443	0.452	0.454	0.454
SPAC1071.04c	spc2	viable	V	0.0	0.0	0.009	0.223	0.994	2.179	2.996
SPAC1071.05	hpm1	viable	V	0.062	0.572	0.84	0.918	0.936	0.94	0.941
SPAC1071.06	arp9	viable	V	0.004	0.065	0.264	0.632	1.046	1.453	1.714
SPAC1071.09c	djc9	viable	V	0.0	0.008	0.052	0.158	0.292	0.43	0.519
SPAC1071.10c	pma1	inviable	E	0.033	1.753	3.492	4.096	4.237	4.271	4.278
SPAC1071.11	coq12	condition-dependent	V	0.0	0.0	0.048	0.444	0.895	1.149	1.23
SPAC1071.12c	stp1	viable	V	-0.005	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1071.13	SPAC1071.13	unknown	Not_determined	0.0	0.0	0.0	0.071	0.257	0.35	0.37
SPAC1093.01	ppr5	viable	V	0.039	0.127	0.232	0.337	0.419	0.483	0.519
SPAC1093.02	pdx3	viable	V	0.059	0.253	0.468	0.648	0.759	0.829	0.86
SPAC1093.03	fig4	viable	V	0.053	0.423	0.699	0.819	0.858	0.871	0.874
