Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	R2	RMSE	normalized_RMSE	AIC	BIC
SPAC1002.01	mrx11	viable	V	0.36	0.06	0.691	1.056	3.692	7.829	6.773	2.887	0.132	5.715	0.059351	0.563	0.286005	-2.032	-2.194
SPAC1002.02	pom34	viable	V	0.44	0.033	0.937	1.759	7.703	17.031	15.272	5.888	0.162	5.077	0.114751	0.411	0.29852	-6.456	-6.619
SPAC1002.03c	gls2	viable	V	0.99	0.107	4.891	5.458	9.558	15.991	10.534	8.306	0.364	9.79	0.98188	0.055	0.052602	-34.627	-34.789
SPAC1002.04c	taf11	inviable	E	4.789	0.711	3.738	4.149	7.123	11.79	7.641	6.216	1.762	59.488	0.939453	0.491	0.091016	-3.96	-4.122
SPAC1002.05c	jmj2	viable	V	-0.601	-0.031	0.0	1.175	9.677	23.017	21.841	7.081	-0.221	-5.92	0.879634	0.058	0.114457	-33.773	-33.935
SPAC1002.06c	bqt2	viable	V	0.234	0.039	-0.0	0.364	3.001	7.138	6.773	2.196	0.086	3.867	0.026424	0.311	0.297254	-10.368	-10.53
SPAC1002.07c	SPAC1002.07c	viable	V	1.639	0.071	-0.0	1.408	11.592	27.573	26.165	8.483	0.603	14.028	0.839812	0.176	0.114295	-18.321	-18.483
SPAC1002.08c	mtf1	inviable	E	3.581	0.337	3.762	4.411	9.109	16.481	12.07	7.675	1.317	36.841	0.986375	0.155	0.043421	-20.08	-20.242
SPAC1002.09c	dld1	inviable	E	4.425	0.542	5.978	6.476	10.083	15.743	9.267	8.982	1.628	41.674	0.996638	0.103	0.024409	-25.868	-26.031
SPAC1002.10c	sgt1	inviable	E	4.525	0.615	0.533	0.982	4.229	9.325	8.344	3.238	1.665	68.975	0.994181	0.121	0.025731	-23.569	-23.731
SPAC1002.11	gaa1	inviable	E	4.461	0.747	1.002	1.366	4.003	8.14	6.773	3.198	1.641	69.546	0.989529	0.163	0.036347	-19.364	-19.526
SPAC1002.12c	ssd1	viable	V	0.121	0.02	0.0	0.364	3.001	7.138	6.773	2.196	0.045	2.011	0.026025	0.156	0.317436	-20.023	-20.185
SPAC1002.13c	psu1	inviable	E	4.426	0.688	3.732	4.125	6.964	11.42	7.296	6.097	1.628	55.78	0.996003	0.113	0.025497	-24.534	-24.697
SPAC1002.14	itt1	viable	V	1.162	0.195	5.761	6.126	8.762	12.899	6.773	7.957	0.427	12.597	0.671889	0.31	0.18334	-10.404	-10.566
SPAC1002.15c	med6	viable	V	1.818	0.2	3.703	4.259	8.281	14.591	10.332	7.053	0.669	20.257	0.961711	0.14	0.071336	-21.565	-21.727
SPAC1002.16c	tna1	inviable	E	-0.579	-0.097	9.657	10.022	12.658	16.795	6.773	11.853	-0.213	-4.047	0.743586	0.128	0.20109	-22.726	-22.888
SPAC1002.17c	urg2	viable	V	-0.135	0.007	0.0	-1.215	-10.005	-23.798	-22.583	-7.322	-0.05	-0.019	-1.127117	0.285	0.465402	-11.582	-11.745
SPAC1002.18	urg3	viable	V	0.53	0.027	3.573	4.762	13.369	26.873	22.111	10.741	0.195	3.707	0.831899	0.077	0.131175	-29.895	-30.058
SPAC1002.19	urg1	viable	V	-0.118	0.005	0.0	-1.406	-11.573	-27.527	-26.122	-8.469	-0.043	-0.019	-1.84654	0.166	0.596969	-19.144	-19.307
SPAC1002.20	SPAC1002.20	viable	V	-0.018	0.002	-0.0	-0.628	-5.174	-12.307	-11.678	-3.786	-0.007	-0.001	-0.020692	0.096	0.334715	-26.75	-26.912
SPAC1006.01	psp3	viable	V	0.749	0.125	-0.0	0.364	3.001	7.138	6.773	2.196	0.275	12.397	0.842586	0.107	0.114776	-25.293	-25.455
SPAC1006.02	asa1	inviable	E	1.724	0.254	0.466	0.88	3.874	8.573	7.693	2.96	0.634	26.96	0.907613	0.192	0.100227	-17.094	-17.256
SPAC1006.03c	red1	viable	V	2.184	0.25	1.412	1.945	5.797	11.842	9.898	4.621	0.804	29.715	0.991359	0.074	0.032638	-30.41	-30.573
SPAC1006.04c	mcp3	viable	V	0.521	0.037	0.0	0.857	7.051	16.77	15.914	5.16	0.192	6.308	0.799694	0.09	0.16046	-27.634	-27.796
SPAC1006.05c	och1	viable	V	3.209	0.454	4.915	5.346	8.47	13.371	8.025	7.516	1.181	35.497	0.970349	0.224	0.066832	-14.94	-15.102
SPAC1006.06	rgf2	viable	V	0.027	-0.003	0.0	-0.556	-4.576	-10.886	-10.33	-3.349	0.01	0.002	-0.832256	0.134	0.493308	-22.12	-22.282
SPAC1006.07	tif1	inviable	E	2.004	0.336	-0.0	0.364	3.001	7.138	6.773	2.196	0.737	33.173	0.881204	0.23	0.111509	-14.593	-14.755
SPAC1006.08	etd1	condition-dependent	E	4.422	0.741	1.349	1.713	4.35	8.487	6.773	3.545	1.627	67.413	0.990054	0.161	0.036184	-19.596	-19.758
SPAC1006.09	win1	viable	V	0.67	0.055	2.469	3.207	8.546	16.924	13.717	6.916	0.246	7.23	0.951645	0.055	0.084081	-34.545	-34.707
SPAC1039.01	SPAC1039.01	viable	V	2.054	0.344	14.629	14.994	17.63	21.767	6.773	16.825	0.756	5.017	0.891873	0.232	0.115514	-14.471	-14.633
SPAC1039.02	efn2	viable	V	0.375	0.055	0.0	0.414	3.409	8.11	7.696	2.495	0.138	6.027	0.291569	0.196	0.260786	-16.788	-16.951
