Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	0h	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1002.01	mrx11	viable	V	0.0	0.794	0.151	-0.23	1.185	-0.172	-0.751	-0.85
SPAC1002.02	pom34	viable	V	0.0	0.191	0.603	0.449	-0.384	-0.433	0.218	-0.021
SPAC1002.03c	gls2	viable	V	0.0	-0.244	-0.29	0.057	-0.131	-0.043	0.634	0.333
SPAC1002.04c	taf11	inviable	E	0.0	1.783	1.783	1.783	1.783	1.783	1.783	1.783
SPAC1002.05c	jmj2	viable	V	0.0	-0.004	0.324	0.165	-0.285	-0.097	0.124	-0.029
SPAC1002.06c	bqt2	viable	V	0.0	0.322	0.296	0.709	0.344	0.035	-0.074	0.199
SPAC1002.07c	SPAC1002.07c	viable	V	0.0	-0.168	-0.178	-0.364	-0.315	-0.27	-0.528	-0.143
SPAC1002.08c	mtf1	inviable	E	0.0	0.179	1.167	2.135	2.332	2.265	2.265	2.288
SPAC1002.09c	dld1	inviable	E	0.0	0.285	-0.962	1.652	1.073	1.537	1.372	1.777
SPAC1002.10c	sgt1	inviable	E	0.0	-0.091	0.598	0.583	1.171	1.648	1.592	1.58
SPAC1002.12c	ssd1	viable	V	0.0	0.183	-0.728	-0.89	-0.514	-0.057	-0.374	-0.24
SPAC1002.13c	psu1	inviable	E	0.0	0.913	2.294	2.125	2.191	3.011	2.333	2.497
SPAC1002.14	itt1	viable	V	0.0	0.019	0.433	0.704	0.111	0.623	0.812	1.613
SPAC1002.15c	med6	viable	V	0.0	0.048	0.235	0.45	0.947	1.386	1.623	1.985
SPAC1002.16c	tna1	inviable	E	0.0	0.275	0.156	0.177	0.214	0.246	0.04	0.101
SPAC1002.17c	urg2	viable	V	0.0	-0.444	0.159	-0.266	-0.389	0.076	-0.084	-0.475
SPAC1002.18	urg3	viable	V	0.0	0.252	0.282	0.237	0.245	0.45	0.361	0.342
SPAC1002.19	urg1	viable	V	0.0	0.522	0.391	0.138	0.187	0.371	0.629	0.759
SPAC1002.20	SPAC1002.20	viable	V	0.0	-0.053	-0.074	-0.182	-0.247	-0.169	-0.246	-0.266
SPAC1006.01	psp3	viable	V	0.0	0.457	0.107	0.045	-0.1	0.195	-0.016	-0.136
SPAC1006.03c	red1	viable	V	0.0	0.101	0.774	1.108	1.832	2.12	2.189	2.48
SPAC1006.04c	mcp3	viable	V	0.0	-0.067	0.269	0.015	-0.645	-0.248	-0.24	-0.273
SPAC1006.05c	och1	viable	V	0.0	0.54	2.889	2.99	2.99	2.99	2.99	2.99
SPAC1006.06	rgf2	viable	V	0.0	0.244	-0.093	0.191	0.201	0.413	0.108	0.443
SPAC1006.08	etd1	condition-dependent	E	0.0	0.718	0.824	1.128	3.008	1.186	1.555	1.805
SPAC1006.09	win1	viable	V	0.0	-0.01	0.203	0.696	0.745	0.918	0.893	1.013
SPAC1039.01	SPAC1039.01	viable	V	0.0	0.348	0.336	1.273	0.75	0.573	1.151	0.461
SPAC1039.02	efn2	viable	V	0.0	-0.217	-0.163	-0.157	-0.182	-0.127	-0.181	-0.283
SPAC1039.03	SPAC1039.03	viable	V	0.0	0.516	0.798	0.199	-0.131	-0.009	-0.23	0.268
SPAC1039.04	SPAC1039.04	viable	V	0.0	-0.008	0.041	0.131	-0.03	0.15	0.103	0.218
SPAC1039.05c	klf1	viable	V	0.0	0.017	0.195	0.05	0.078	0.209	-0.046	0.079
SPAC1039.06	SPAC1039.06	viable	V	0.0	0.037	0.236	0.527	0.399	0.491	0.679	0.549
SPAC1039.07c	SPAC1039.07c	viable	V	0.0	0.062	0.092	-0.01	-0.129	0.043	0.157	0.082
SPAC1039.08	SPAC1039.08	viable	V	0.0	-0.118	0.111	-0.234	-0.341	-0.1	-0.139	-0.008
SPAC1039.09	isp5	viable	V	0.0	0.769	0.235	0.7	0.742	1.164	1.23	0.505
SPAC1039.10	mmf2	viable	V	0.0	-0.615	-0.413	1.343	1.386	0.527	1.129	0.705
SPAC1039.11c	gto1	viable	V	0.0	0.283	-0.046	0.032	0.204	-0.196	0.361	0.206
SPAC105.01c	kha1	viable	V	0.0	-0.066	-0.109	-0.279	0.136	0.184	0.367	0.604
SPAC105.02c	ank1	viable	V	0.0	-0.14	-0.174	-0.163	0.549	0.525	0.892	0.35
SPAC105.03c	dal81	viable	V	0.0	0.209	0.09	0.287	0.051	0.1	0.457	1.307
SPAC1071.01c	pta1	inviable	E	0.0	0.507	1.905	1.012	0.905	0.768	0.42	0.841
SPAC1071.02	mms19	viable	V	0.0	0.315	0.427	1.073	1.958	2.157	2.388	2.286
SPAC1071.03c	sil1	viable	V	0.0	0.44	0.268	0.184	-0.216	-0.487	-0.217	-0.038
SPAC1071.04c	spc2	viable	V	0.0	-0.357	0.803	1.195	1.936	2.08	2.498	2.042
SPAC1071.05	hpm1	viable	V	0.0	1.186	-0.0	0.93	0.113	0.788	0.682	0.423
SPAC1071.06	arp9	viable	V	0.0	0.407	0.921	1.237	1.889	2.9	2.883	2.899
SPAC1071.08	rpp203	viable	V	0.0	-0.036	-0.874	0.165	-0.273	0.312	0.11	0.217
SPAC1071.09c	djc9	viable	V	0.0	-0.098	0.176	0.235	0.544	0.185	0.877	0.885
SPAC1071.11	coq12	condition-dependent	V	0.0	-0.31	-0.074	-0.016	-0.057	0.244	0.993	0.686
SPAC1071.12c	stp1	viable	V	0.0	-0.304	-0.284	-0.297	-0.378	-0.05	-0.247	-0.075
SPAC1071.13	SPAC1071.13	unknown	Not_determined	0.0	0.384	0.297	-1.341	-0.802	0.297	-0.895	-0.908
SPAC1093.01	ppr5	viable	V	0.0	0.087	-0.201	0.082	0.484	0.213	0.117	0.555
SPAC1093.02	pdx3	viable	V	0.0	-0.528	-0.612	-0.729	-0.947	-0.816	-0.925	-0.714
SPAC1093.03	fig4	viable	V	0.0	-0.081	-0.253	-0.548	-0.487	-0.55	-0.628	-0.522
SPAC1093.06c	dhc1	viable	V	0.0	-0.042	0.031	0.19	0.172	0.143	0.184	0.379
SPAC10F6.01c	sir1	viable	V	0.0	1.043	0.42	-0.242	-0.417	-0.902	-1.501	1.277
SPAC10F6.02c	prp22	inviable	E	0.0	-0.09	0.415	1.448	1.428	2.408	3.144	3.266
SPAC10F6.04	ats1	viable	V	0.0	0.466	0.857	1.287	1.505	2.037	2.243	2.595
SPAC10F6.05c	ubc6	viable	V	0.0	0.213	0.262	0.362	0.063	0.353	0.176	0.214
SPAC10F6.06	vip1	viable	V	0.0	0.138	0.419	-0.118	-0.14	-0.342	0.169	-0.008
SPAC10F6.07c	mug94	viable	V	0.0	-0.252	0.745	-0.655	0.14	-0.538	0.14	0.257
SPAC10F6.08c	nht1	viable	V	0.0	0.485	1.092	1.506	1.899	2.413	2.287	3.345
SPAC10F6.09c	psm3	condition-dependent	E	0.0	-0.69	-0.411	1.208	1.025	1.084	1.699	0.331
SPAC10F6.10	rio1	inviable	E	0.0	0.607	1.003	2.194	1.891	2.226	1.981	2.249
SPAC10F6.11c	atg17	viable	V	0.0	-0.337	-0.464	-0.632	-0.758	-0.636	-0.966	-0.75
SPAC10F6.12c	mam4	viable	V	0.0	0.008	-0.271	0.124	-0.381	-0.238	-0.056	0.017
SPAC10F6.13c	caa1	viable	V	0.0	-0.488	0.099	0.869	2.359	2.159	2.653	2.563
SPAC10F6.14c	SPAC10F6.14c	viable	V	0.0	0.095	0.058	-0.026	-0.047	0.046	0.369	0.318
SPAC10F6.15	SPAC10F6.15	viable	V	0.0	-0.084	0.474	1.747	1.713	-0.125	0.138	1.628
SPAC10F6.16	igo1	viable	V	0.0	-0.181	0.271	0.223	-0.305	0.38	0.554	0.41
SPAC10F6.17c	ptc5	viable	V	0.0	-0.545	-0.388	0.172	0.832	1.405	0.471	0.709
SPAC110.01	ppk1	viable	V	0.0	0.26	0.001	0.345	0.679	0.817	0.824	0.87
SPAC110.02	pds5	viable	V	0.0	0.367	0.824	1.581	1.873	2.098	2.042	2.2
SPAC110.04c	pss1	condition-dependent	E	0.0	1.043	1.905	1.905	1.905	1.905	1.905	1.905
SPAC110.06	SPAC110.06	viable	Not_determined	0.0	0.91	1.213	0.862	1.699	0.933	1.213	0.275
SPAC1142.01	rqc1	viable	V	0.0	-0.248	-0.313	-0.453	-0.793	-0.632	-0.585	-0.807
SPAC1142.02c	sgt2	viable	V	0.0	-0.187	0.008	-0.444	-0.429	-0.635	-0.249	-0.451
SPAC1142.03c	swi2	viable	V	0.0	0.057	0.044	-0.141	-0.154	-0.171	-0.408	-0.248
SPAC1142.05	ctr5	viable	V	0.0	0.11	0.509	1.286	2.028	2.48	2.993	3.238
SPAC1142.06	get3	viable	V	0.0	-0.138	0.441	0.547	0.768	0.868	0.606	0.911
SPAC1142.07c	vps32	viable	V	0.0	0.338	0.579	1.484	1.732	2.29	2.574	2.974
SPAC1142.08	fhl1	viable	V	0.0	-0.039	-0.059	0.301	0.595	1.21	2.336	1.528
SPAC1142.09	SPAC1142.09	unknown	Not_determined	0.0	0.227	-0.199	-0.3	-0.277	-0.204	-0.329	-0.221
SPAC11D3.02c	SPAC11D3.02c	viable	V	0.0	0.282	0.185	-0.162	0.014	-0.014	-0.213	-0.047
SPAC11D3.03c	SPAC11D3.03c	viable	V	0.0	-0.101	0.184	-0.144	0.018	0.02	-0.114	0.091
SPAC11D3.04c	SPAC11D3.04c	viable	V	0.0	0.014	0.049	-0.04	0.121	0.058	0.042	0.106
SPAC11D3.05	mfs2	viable	V	0.0	-0.038	-0.399	-0.326	-0.372	-0.275	-0.441	-0.417
SPAC11D3.06	SPAC11D3.06	viable	V	0.0	0.253	0.162	0.061	0.353	0.383	0.292	0.325
SPAC11D3.07c	toe4	viable	V	0.0	-0.088	0.027	0.074	0.116	0.313	0.325	0.466
SPAC11D3.08c	SPAC11D3.08c	viable	V	0.0	0.155	0.516	-0.365	-0.25	0.12	0.07	0.714
SPAC11D3.09	agm1	viable	V	0.0	0.009	0.217	0.515	0.187	0.185	0.239	0.375
SPAC11D3.10	SPAC11D3.10	viable	V	0.0	0.093	0.29	0.368	0.155	0.643	0.877	0.827
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	0.0	0.431	0.176	-0.023	-0.129	-0.057	-0.032	-0.114
SPAC11D3.13	hsp3104	viable	V	0.0	-0.008	0.415	-0.31	0.167	0.265	0.31	1.149
SPAC11D3.14c	oxp2	viable	V	0.0	-0.04	-0.031	-0.408	-0.3	-0.45	-0.397	-0.118
SPAC11D3.15	oxp1	viable	V	0.0	0.258	0.304	0.162	0.08	0.009	0.24	0.236
SPAC11D3.16c	SPAC11D3.16c	viable	V	0.0	-0.118	0.187	0.223	0.347	0.294	0.205	0.689
SPAC11D3.17	SPAC11D3.17	viable	V	0.0	-0.098	-0.223	-0.369	-0.289	-0.388	-0.714	-0.35
SPAC11D3.18c	SPAC11D3.18c	viable	V	0.0	-0.089	0.137	0.166	0.097	0.608	0.037	0.076
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	0.0	0.166	0.362	-0.941	0.123	-0.215	0.769	0.738
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	0.0	-0.287	-0.037	0.273	-0.334	0.239	0.276	0.084
SPAC11E3.01c	swr1	viable	V	0.0	0.387	0.531	0.771	0.952	1.198	1.341	1.559
SPAC11E3.02c	ync13	condition-dependent	E	0.0	0.381	0.857	1.805	2.327	2.538	2.678	2.794
SPAC11E3.03	csm1	viable	V	0.0	0.273	0.838	2.173	2.924	3.148	3.565	3.365
SPAC11E3.04c	ubc13	viable	V	0.0	-0.321	-0.268	-0.633	-0.574	-0.836	-0.688	-0.43
SPAC11E3.05	sea3	viable	V	0.0	0.887	2.016	3.139	3.321	3.538	3.635	3.732
SPAC11E3.06	map1	viable	V	0.0	-0.507	-0.338	-0.475	0.311	-0.492	-0.06	0.393
SPAC11E3.08c	nse6	viable	V	0.0	0.369	0.97	1.571	2.429	2.928	3.171	3.167
SPAC11E3.09	pyp3	viable	V	0.0	0.002	0.204	0.261	0.114	0.621	0.539	1.078
SPAC11E3.10	SPAC11E3.10	viable	V	0.0	0.3	0.329	0.527	0.611	0.611	0.32	0.056
SPAC11E3.11c	syt22	viable	V	0.0	0.052	0.138	0.17	0.241	0.503	0.853	1.074
SPAC11E3.12	SPAC11E3.12	viable	V	0.0	0.13	-0.213	0.096	-0.08	-0.192	-0.124	-0.134
SPAC11E3.13c	gas5	viable	V	0.0	0.401	0.172	0.41	0.206	0.174	0.005	-0.038
SPAC11E3.14	SPAC11E3.14	viable	V	0.0	0.079	0.064	0.419	0.669	1.165	1.173	1.75
SPAC11E3.15	rpl22	viable	V	0.0	0.131	1.553	0.332	-0.328	0.101	0.278	1.415
SPAC11G7.01	mtl2	viable	V	0.0	0.076	0.255	0.245	0.013	0.186	0.302	0.141
SPAC11G7.02	pub1	viable	V	0.0	0.251	0.764	1.467	1.836	2.335	2.427	3.082
SPAC11G7.03	idh1	viable	V	0.0	-0.579	0.356	0.762	1.21	1.628	1.99	2.387
SPAC11G7.06c	mug132	viable	V	0.0	0.043	-0.112	-0.063	-0.36	-0.116	-0.124	-0.31
SPAC11H11.01	sst6	viable	V	0.0	0.218	0.39	0.677	0.763	0.758	0.881	0.78
SPAC11H11.02c	mug162	viable	V	0.0	-0.101	-0.056	-0.14	-0.329	-0.259	-0.445	-0.173
SPAC11H11.03c	SPAC11H11.03c	viable	V	0.0	0.145	-0.063	-0.045	-0.026	-0.09	0.106	0.039
SPAC11H11.04	mam2	viable	V	0.0	-0.077	-0.067	0.127	0.266	0.496	0.107	0.638
SPAC11H11.05c	fta6	viable	V	0.0	-0.304	-0.152	-0.402	-0.255	0.12	0.058	-0.361
SPAC1250.02	mug95	viable	V	0.0	-0.111	0.034	0.238	0.111	0.339	0.068	0.229
SPAC1250.03	ubc14	viable	V	0.0	-0.121	0.227	1.061	0.603	0.581	1.384	0.083
SPAC1250.04c	atl1	viable	V	0.0	-1.01	0.979	-0.902	0.32	1.227	-0.095	0.507
SPAC1250.05	rpl3002	viable	V	0.0	0.183	0.115	0.405	0.717	0.81	0.679	0.837
SPAC1296.01c	SPAC1296.01c	viable	V	0.0	-0.067	0.185	0.592	0.558	0.657	1.181	0.919
SPAC1296.02	cox4	viable	V	0.0	-0.728	-0.786	-0.691	-0.677	-0.363	0.102	0.171
SPAC1296.03c	sxa2	viable	V	0.0	-0.445	-0.056	-0.189	-0.245	-0.108	0.575	0.121
SPAC1296.04	mug65	viable	V	0.0	-0.493	1.322	0.053	0.802	0.768	1.554	1.074
SPAC1296.05c	lcp1	viable	V	0.0	-0.193	-0.343	-0.233	0.274	-0.07	-0.113	0.035
SPAC1296.06	tah18	viable	V	0.0	0.962	2.218	2.554	3.139	3.12	2.517	3.549
SPAC12B10.01c	hul6	viable	V	0.0	0.164	0.445	0.674	0.679	0.909	1.144	1.357
SPAC12B10.02c	sdg1	condition-dependent	E	0.0	-0.163	0.344	0.326	0.439	0.544	0.555	0.577
SPAC12B10.03	bun62	viable	V	0.0	0.955	1.824	2.411	2.388	2.226	2.374	2.511
SPAC12B10.04	pby1	viable	V	0.0	-0.101	0.16	-0.293	0.131	0.406	-0.063	0.048
SPAC12B10.05	icp55	viable	V	0.0	-0.013	-0.189	-0.174	0.363	-0.316	-0.104	0.072
SPAC12B10.06c	sdh5	viable	V	0.0	-0.576	-0.176	-0.66	-1.038	-0.685	-0.905	-0.744
SPAC12B10.07	acp1	viable	V	0.0	0.239	0.35	0.178	0.47	0.26	0.068	0.266
SPAC12B10.08c	til1	inviable	E	0.0	-0.076	0.084	1.45	2.987	3.514	3.433	3.904
SPAC12B10.09	pet801	viable	V	0.0	0.029	-0.221	-0.307	-0.303	-0.211	0.075	-0.061
SPAC12B10.10	nod1	viable	V	0.0	-0.159	0.296	0.246	0.769	0.647	0.727	0.64
SPAC12B10.11	exg2	viable	V	0.0	-0.227	-0.314	-0.507	-0.126	-0.107	-0.506	-0.203
SPAC12B10.12c	rhp41	viable	V	0.0	-0.019	0.04	0.275	0.384	0.803	1.145	1.279
SPAC12B10.13	gid8	viable	V	0.0	-0.127	0.019	0.384	-0.364	0.221	-0.158	-0.796
SPAC12B10.14c	tea5	viable	V	0.0	0.189	-0.076	0.188	0.212	0.68	0.329	0.684
SPAC12B10.15c	rnh203	viable	V	0.0	0.334	-0.079	-0.024	1.123	-0.803	0.638	1.059
