Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	0h	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1002.01	mrx11	viable	V	0.379	0.317	0.171	0.016	0.0	0.0	0.0	0.0
SPAC1002.02	pom34	viable	V	0.002	0.002	0.003	0.007	0.01	0.014	0.017	0.02
SPAC1002.03c	gls2	viable	V	0.0	0.0	0.0	0.0	0.001	0.118	0.392	0.488
SPAC1002.04c	taf11	inviable	E	0.13	0.238	0.691	1.596	1.875	1.948	1.964	1.967
SPAC1002.05c	jmj2	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1002.06c	bqt2	viable	V	0.017	0.031	0.09	0.209	0.245	0.255	0.257	0.257
SPAC1002.07c	SPAC1002.07c	viable	V	-0.066	-0.054	-0.03	-0.004	-0.0	-0.0	-0.0	-0.0
SPAC1002.08c	mtf1	inviable	E	0.157	0.288	0.838	1.935	2.273	2.361	2.382	2.385
SPAC1002.09c	dld1	inviable	E	0.002	0.008	0.118	0.946	1.412	1.553	1.587	1.593
SPAC1002.10c	sgt1	inviable	E	0.08	0.118	0.271	0.78	1.191	1.459	1.602	1.663
SPAC1002.12c	ssd1	viable	V	-0.03	-0.055	-0.159	-0.366	-0.43	-0.447	-0.451	-0.451
SPAC1002.13c	psu1	inviable	E	0.175	0.32	0.931	2.149	2.523	2.622	2.644	2.648
SPAC1002.14	itt1	viable	V	0.075	0.092	0.152	0.354	0.58	0.817	1.034	1.185
SPAC1002.15c	med6	viable	V	0.063	0.085	0.171	0.51	0.923	1.346	1.707	1.937
SPAC1002.16c	tna1	inviable	E	0.012	0.021	0.061	0.142	0.166	0.173	0.174	0.175
SPAC1002.17c	urg2	viable	V	-0.192	-0.131	-0.023	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1002.18	urg3	viable	V	0.024	0.044	0.128	0.295	0.346	0.36	0.363	0.363
SPAC1002.19	urg1	viable	V	0.058	0.07	0.108	0.226	0.352	0.481	0.598	0.68
SPAC1002.20	SPAC1002.20	viable	V	-0.016	-0.026	-0.065	-0.165	-0.212	-0.231	-0.237	-0.239
SPAC1006.01	psp3	viable	V	0.216	0.178	0.097	0.014	0.001	0.0	0.0	0.0
SPAC1006.03c	red1	viable	V	0.161	0.227	0.478	1.226	1.781	2.125	2.305	2.378
SPAC1006.04c	mcp3	viable	V	0.044	0.036	0.019	0.002	0.0	0.0	0.0	0.0
SPAC1006.05c	och1	viable	V	0.212	0.388	1.127	2.601	3.055	3.174	3.201	3.206
SPAC1006.06	rgf2	viable	V	0.032	0.038	0.061	0.129	0.202	0.274	0.338	0.382
SPAC1006.08	etd1	condition-dependent	E	0.118	0.217	0.63	1.455	1.709	1.776	1.791	1.794
