gene_systematic_id	gene_name	type	evidence	qualifier	extension	reference	taxon	date
SPAC1002.01	mrx11	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1002.01	mrx11	RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1002.02	pom34	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1002.02	pom34	protein	high throughput evidence used in manual assertion	increased	during(GO:0031142)	PMID:39705284	4896	2025-04-04
SPAC1002.02	pom34	protein	high throughput evidence used in manual assertion	increased	during(GO:0000747)	PMID:39705284	4896	2025-04-04
SPAC1002.02	pom34	RNA	experimental evidence	increased	during(GO:0051321)	PMID:16303567	4896	2010-01-03
SPAC1002.02	pom34	RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1002.04c	taf11	RNA	expression microarray evidence	decreased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1002.05c	jmj2	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1002.05c	jmj2	RNA	RNA-sequencing evidence	increased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1002.06c	bqt2	RNA	quantitative PCR	increased	during(GO:0006995),during(GO:0071444)	PMID:16615890	4896	2014-07-14
SPAC1002.06c	bqt2	RNA	experimental evidence	increased	during(GO:0051321)	PMID:16303567	4896	2010-01-03
SPAC1002.07c		protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1002.07c		protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1002.07c		protein	high throughput evidence used in manual assertion	increased	during(GO:0007135)	PMID:39367033	4896	2024-11-01
SPAC1002.07c		RNA	RNA-sequencing evidence	increased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1002.08c	mtf1	RNA	expression microarray evidence	decreased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1002.09c	dld1	protein	high throughput evidence used in manual assertion	increased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1002.09c	dld1	RNA	expression microarray evidence	increased	during(GO:1903832)	PMID:29432178	4896	2018-03-09
SPAC1002.09c	dld1	RNA	RNA-sequencing evidence	increased	in presence of(CHEBI:40036)	PMID:36478272	4896	2025-05-21
SPAC1002.10c	sgt1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1002.10c	sgt1	RNA	Northern assay evidence	increased	in presence of(CHEBI:17234)	PMID:16408318	4896	2021-10-04
SPAC1002.11	gaa1	RNA	expression microarray evidence	decreased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1002.12c	ssd1	protein	high throughput evidence used in manual assertion	increased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1002.12c	ssd1	RNA	expression microarray evidence	increased	during(GO:1903832)	PMID:29432178	4896	2018-03-09
SPAC1002.12c	ssd1	RNA	RNA-sequencing evidence	increased	in presence of(CHEBI:40036)	PMID:36478272	4896	2025-05-21
SPAC1002.13c	psu1	protein	Western blot evidence	increased	during(GO:0016036)	PMID:39660919	4896	2024-12-12
SPAC1002.13c	psu1	protein	high throughput evidence used in manual assertion	increased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1002.13c	psu1	protein	high throughput evidence used in manual assertion	increased	during(GO:0031142)	PMID:39705284	4896	2025-04-04
SPAC1002.13c	psu1	ribosomal density	ribosome profiling evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1002.13c	psu1	RNA	expression microarray evidence	decreased	during(GO:0034599)	PMID:12529438	4896	2021-11-30
SPAC1002.13c	psu1	RNA	expression microarray evidence	decreased	during(GO:0034605)	PMID:12529438	4896	2021-11-30
SPAC1002.13c	psu1	RNA	expression microarray evidence	decreased	during(GO:0071470)	PMID:12529438	4896	2021-11-30
SPAC1002.13c	psu1	RNA	expression microarray evidence	decreased	in presence of(CHEBI:50292)	PMID:12529438	4896	2021-11-30
SPAC1002.13c	psu1	RNA	expression microarray evidence	decreased	in presence of(CHEBI:25255)	PMID:12529438	4896	2021-11-30
SPAC1002.13c	psu1	RNA	RNA-sequencing evidence	decreased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1002.13c	psu1	RNA	RNA-sequencing evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1002.13c	psu1	RNA	RNA-sequencing evidence	decreased	during(GO:0042542)	PMID:33313903	4896	2021-01-11
SPAC1002.13c	psu1	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1002.13c	psu1	RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1002.14	itt1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1002.16c	tna1	protein	mass spectrometry evidence	increased	in presence of(CHEBI:15361),in absence of(CHEBI:17234)	PMID:31626996	4896	2021-01-31
SPAC1002.16c	tna1	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1002.16c	tna1	RNA	expression microarray evidence	decreased	during(GO:0071456)	PMID:22235339	4896	2015-09-16
SPAC1002.16c	tna1	RNA	RNA-sequencing evidence	decreased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1002.16c	tna1	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
