Systematic_ID,Gene_name,Gene_product,uniprot_id,FYPOviability,Transcript,Chr,Start,End,Strand,mRNA_gc_content,genomic_coding_region_length,gc_content_of_genomic_coding_region,num_exon_regions,total_cds_length,cds_fraction,cds_gc_content,average_cds_length,num_introns,total_intron_length,average_intron_length,intron_gc_content,primary_transcript,isoform_number,mRNA_abundance,RNA_abundance_in_spores,tAI,mRNA_synthesis_rate,mRNA_half_life,Mass (kDa),pI,Charge,protein_length,CAI,protein_abundance,protein_half_life,evolutionary_rate,dN_dS,Multifunctionality,Nc,co_expression_degree,Paralog,paralog_count
SPAC1002.01,mrx11,mitochondrial expression network (MIOREX) component Mrx11,Q9US57,viable,SPAC1002.01.1,I,1798347.0,1798835.0,+,0.379,489.0,0.378,1.0,489.0,1.0,0.408,489.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.46,33.48,0.338397945829179,,,18.28,10.76,14.86,162,0.57,,,,0.1196,4.0,55.118,71.0,none,0.0
SPAC1002.02,pom34,nucleoporin Pom34,Q9US56,viable,SPAC1002.02.1,I,1799014.0,1800053.0,+,0.381,690.0,0.42,1.0,690.0,1.0,0.447,690.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,3.8,28.76,0.371465017653469,,,25.84,10.44,10.19,229,0.59,2564.51,2.960552,0.841469194312796,0.1389,4.0,53.787,330.0,none,0.0
SPAC1002.03c,gls2,glucosidase II alpha subunit Gls2,Q9US55,viable,SPAC1002.03c.1,I,1799915.0,1803070.0,-,0.386,2772.0,0.401,1.0,2772.0,1.0,0.408,2772.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,7.2,37.85,0.379757741971877,0.203665987780041,34.73,106.28,5.92,-18.68,923,0.55,9719.87,15.99611,0.477725118483412,0.0596,5.0,46.988,233.0,none,0.0
SPAC1002.04c,taf11,transcription factor TFIID complex subunit Taf11,Q9US54,inviable,SPAC1002.04c.1,I,1803624.0,1804458.0,-,0.382,600.0,0.413,1.0,600.0,1.0,0.474,600.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.4,57.18,0.343139705029748,0.306748466257669,3.72,22.54,8.83,1.96,199,0.53,1600.25,12.60489,0.267772511848341,0.0687,7.0,48.386,367.0,none,0.0
SPAC1002.05c,jmj2,histone demethylase Jmj2,Q9US53,viable,SPAC1002.05c.1,I,1804548.0,1806797.0,-,0.36,2148.0,0.366,1.0,2148.0,1.0,0.408,2148.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.52,17.72,0.339383958489601,0.111856823266219,2.3,82.88,6.75,-2.77,715,0.63,,,0.799052132701422,0.1051,9.0,53.537,283.0,none,0.0
SPAC1002.06c,bqt2,bouquet formation protein Bqt2,Q9US52,viable,SPAC1002.06c.1,I,1807270.0,1807781.0,-,0.358,512.0,0.357,3.0,357.0,0.7,0.465,119.0,2.0,155.0,77.5,0.388,primary_transcript,1.0,0.088,1.49,0.335941989004819,,,13.69,7.63,1.12,118,0.54,,,0.741943127962085,0.1398,12.0,46.941,8.0,none,0.0
SPAC1002.07c,SPAC1002.07c,D-amino acid N-acetyltransferase,P79081,viable,SPAC1002.07c.1,I,1807996.0,1809283.0,-,0.356,1000.0,0.376,6.0,507.0,0.51,0.461,84.5,5.0,493.0,98.6,0.365,primary_transcript,1.0,6.1,89.83,0.363168695303365,0.357142857142857,63.65,19.15,4.72,-4.03,168,0.53,5061.92,10.79913,,0.1758,5.0,51.952,331.0,none,0.0
SPAC1002.08c,mtf1,"mitochondrial RNA polymerase specificity factor, predicted rRNA methyltransferase Mtf1",Q9US51,inviable,SPAC1002.08c.1,I,1809480.0,1811330.0,-,0.349,1101.0,0.39,1.0,1101.0,1.0,0.329,1101.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.91,13.78,0.341202418698202,0.267379679144385,3.8,41.2,8.71,6.97,366,0.61,,,0.887440758293839,,7.0,51.742,49.0,none,0.0
SPAC1002.09c,dld1,mitochondrial dihydrolipoamide dehydrogenase (e3 component of oxoglutarate dehydrogenase complex) Dld1,O00087,inviable,SPAC1002.09c.1,I,1811408.0,1813740.0,-,0.385,1536.0,0.432,1.0,1536.0,1.0,0.474,1536.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,12.0,116.28,0.450787169872421,0.233100233100233,43.58,54.73,8.76,10.35,511,0.56,62710.75,24.50937,0.161374407582938,,19.0,45.529,282.0,none,0.0
SPAC1002.10c,sgt1,snRNP binding protein Sgt1,Q9US49,inviable,SPAC1002.10c.1,I,1813740.0,1815746.0,-,0.348,1773.0,0.359,1.0,1773.0,1.0,0.368,1773.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.9,27.14,0.348089782958052,0.125470514429109,9.41,68.16,4.21,-53.3,590,0.62,,5.94379,0.852132701421801,,4.0,50.644,548.0,none,0.0
