complex_term_id	GO_term_name	systematic_id	symbol	gene_product_description	UniProt_ID	evidence_code	source	assigned_by
GO:0000015	phosphopyruvate hydratase complex	SPBC1815.01	eno101	enolase	P40370	IBA	GO_REF:0000033	GO_Central
GO:0000015	phosphopyruvate hydratase complex	SPBPB21E7.01c	eno102	enolase	Q8NKC2	IBA	GO_REF:0000033	GO_Central
GO:0000110	nucleotide-excision repair factor 1 complex	SPBC4F6.15c	swi10	DNA repair endonuclease non-catalytic (ERCC1) subunit Swi10	Q06182	IPI	PMID:8114734	PomBase
GO:0000110	nucleotide-excision repair factor 1 complex	SPBC649.03	rhp14	XP-A family homolog Rhp14	O59753	IBA	GO_REF:0000033	GO_Central
GO:0000110	nucleotide-excision repair factor 1 complex	SPCC970.01	rad16	DNA repair endonuclease XPF	P36617	IPI	PMID:8114734	PomBase
GO:0000111	nucleotide-excision repair factor 2 complex	SPAC12B10.12c	rhp41	DNA repair protein Rhp41	Q10445	IBA	GO_REF:0000033	GO_Central
GO:0000111	nucleotide-excision repair factor 2 complex	SPCC4G3.10c	rhp42	DNA repair protein Rhp42	P87235	IBA	GO_REF:0000033	GO_Central
GO:0000112	nucleotide-excision repair factor 3 complex	SPAC16E8.11c	tfb1	transcription factor TFIIH complex subunit Tfb1	O13745	ISO	GO_REF:0000024	PomBase
GO:0000112	nucleotide-excision repair factor 3 complex	SPAC17A5.06	ptr8	transcription factor TFIIH complex DNA helicase (human ERCC3) subunit Ptr8	O13768	IBA	GO_REF:0000033	GO_Central
GO:0000112	nucleotide-excision repair factor 3 complex	SPAC1D4.12	rad15	transcription factor TFIIH complex DNA helicase (human ERCC2) subunit Rad15	P26659	IGI	PMID:1534406	PomBase
GO:0000112	nucleotide-excision repair factor 3 complex	SPBC13G1.13	tfb2	transcription factor TFIIH complex subunit Tfb2	P87303	ISO	GO_REF:0000024	PomBase
GO:0000112	nucleotide-excision repair factor 3 complex	SPBC776.18c	pmh1	transcription factor TFIIK complex ubiquitin-protein ligase E3 subunit, Pmh1	O94684	ISO	GO_REF:0000024	PomBase
GO:0000113	nucleotide-excision repair factor 4 complex	SPBC582.10c	rhp1602	DNA translocase Rhp16b	Q10332	ISO	GO_REF:0000024	PomBase
GO:0000113	nucleotide-excision repair factor 4 complex	SPCC330.01c	rhp16	DNA translocase/ubiquitin protein ligase E3 Rhp16/Rad16	P79051	IPI	PMID:10446227	PomBase
GO:0000113	nucleotide-excision repair factor 4 complex	SPCC330.02	rhp7	Rad7 homolog Rhp7	O74999	IPI	PMID:10446227	PomBase
GO:0000118	histone deacetylase complex	SPAC343.11c	msc1	Swr1 complex histone demethylase subunit Msc1	Q9UT79	IDA	PMID:15082762	PomBase
GO:0000120	RNA polymerase I transcription regulator complex	SPAC29E6.08	tbp1	TATA-binding protein (TBP)	P17871	IDA	PMID:9092673	PomBase
GO:0000120	RNA polymerase I transcription regulator complex	SPBC336.09c	rrn7	RNA polymerase I general transcription initiation factor subunit Rrn7	Q9UST5	IDA	PMID:12095692	PomBase
GO:0000120	RNA polymerase I transcription regulator complex	SPBC725.17c	rrn11	RNA polymerase I general transcription initiation factor subunit Rrn11	O94332	IDA	PMID:12095692	PomBase
GO:0000123	histone acetyltransferase complex	SPAC139.06	hat1	histone acetyltransferase Hat1	Q9UTM7	ISO	GO_REF:0000024	PomBase
GO:0000124	SAGA complex	SPAC12G12.05c	taf9	SAGA complex/transcription factor TFIID complex subunit Taf9	Q09869	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC12G12.05c	taf9	SAGA complex/transcription factor TFIID complex subunit Taf9	Q09869	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC13A11.04c	ubp8	SAGA complex ubiquitin C-terminal hydrolase Ubp8	Q09738	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC13A11.04c	ubp8	SAGA complex ubiquitin C-terminal hydrolase Ubp8	Q09738	IPI	PMID:20838651,PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC15A10.02	taf12	SAGA complex/transcription factor TFIID complex subunit A Taf12	O13722	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC15A10.02	taf12	SAGA complex/transcription factor TFIID complex subunit A Taf12	O13722	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC1952.05	gcn5	SAGA complex histone acetyltransferase catalytic subunit Gcn5	Q9UUK2	IDA	PMID:11279037,PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC1952.05	gcn5	SAGA complex histone acetyltransferase catalytic subunit Gcn5	Q9UUK2	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC4D7.10c	spt20	SAGA complex subunit Spt20	O14174	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC4D7.10c	spt20	SAGA complex subunit Spt20	O14174	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPAC57A10.14	sgf11	SAGA complex deubiquitinating submodule subunit Sgf11	Q5FC18	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPAC57A10.14	sgf11	SAGA complex deubiquitinating submodule subunit Sgf11	Q5FC18	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC14C8.17c	spt8	SAGA complex WD repeat subunit Spt8	O60097	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC14C8.17c	spt8	SAGA complex WD repeat subunit Spt8	O60097	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC1921.07c	sgf29	SAGA complex subunit Sgf29	Q9USW9	IDA	PMID:19056896,PMID:26401015	PomBase
GO:0000124	SAGA complex	SPBC1921.07c	sgf29	SAGA complex subunit Sgf29	Q9USW9	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC21H7.02	taf10	SAGA complex/transcription factor TFIID complex subunit Taf10	O60171	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC21H7.02	taf10	SAGA complex/transcription factor TFIID complex subunit Taf10	O60171	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC25H2.11c	spt7	SAGA complex bromodomain subunit Spt7	P87152	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC25H2.11c	spt7	SAGA complex bromodomain subunit Spt7	P87152	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC28F2.10c	ngg1	SAGA complex subunit Ngg1/Ada3	Q9USU8	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC28F2.10c	ngg1	SAGA complex subunit Ngg1/Ada3	Q9USU8	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC6B1.12c	sus1	SAGA complex deubiquitinating submodule subunit, TREX complex subunit Sus1	Q7LL15	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC6B1.12c	sus1	SAGA complex deubiquitinating submodule subunit, TREX complex subunit Sus1	Q7LL15	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBC887.18c	hfi1	SAGA complex subunit Hfi1/Ada1	O94301	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBC887.18c	hfi1	SAGA complex subunit Hfi1/Ada1	O94301	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPBP16F5.03c	tra1	SAGA complex, phosphatidylinositol pseudokinase subunit Tra1	Q9HFE8	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPBP16F5.03c	tra1	SAGA complex, phosphatidylinositol pseudokinase subunit Tra1	Q9HFE8	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC126.04c	sgf73	SAGA complex deubiquitinating submodule subunit Sgf73	O94397	IDA	PMID:19056896	PomBase
