Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	R2	RMSE	normalized_RMSE	AIC	BIC
SPAC1002.01	mrx11	viable	V	1.734	-0.128	2.885	2.06	-3.904	-13.262	-15.322	-2.083	0.638	0.835	0.079637	0.628	0.308436	-1.452	-1.214
SPAC1002.02	pom34	viable	V	0.026	0.001	0.0	1.347	11.094	26.388	25.041	8.119	0.009	0.207	-0.055907	0.352	0.339286	-10.729	-10.49
SPAC1002.03c	gls2	viable	V	0.521	0.087	10.87	11.234	13.871	18.008	6.773	13.066	0.192	2.546	0.589995	0.185	0.199986	-21.017	-20.779
SPAC1002.04c	taf11	inviable	E	1.968	0.33	-0.0	0.364	3.001	7.138	6.773	2.196	0.724	30.659	-0.341981	0.683	0.383118	-0.098	0.14
SPAC1002.05c	jmj2	viable	V	-0.0	-0.0	-0.0	0.686	5.645	13.427	12.741	4.131	-0.0	-0.0	-0.020927	0.173	0.283856	-22.084	-21.845
SPAC1002.06c	bqt2	viable	V	0.257	0.043	-0.0	0.364	3.001	7.138	6.773	2.196	0.095	4.01	-0.247481	0.262	0.33436	-15.443	-15.204
SPAC1002.07c	SPAC1002.07c	viable	V	-1.0	0.048	1.383	0.119	-9.023	-23.368	-23.486	-6.232	-0.368	-0.259	-2.491635	0.281	0.53176	-14.324	-14.085
SPAC1002.08c	mtf1	inviable	E	2.386	0.4	-0.0	0.364	3.001	7.138	6.773	2.196	0.878	37.174	0.968247	0.166	0.071186	-22.732	-22.493
SPAC1002.09c	dld1	inviable	E	1.595	0.267	2.005	2.369	5.006	9.142	6.773	4.201	0.587	21.71	0.707653	0.492	0.17959	-5.352	-5.113
SPAC1002.10c	sgt1	inviable	E	1.715	0.152	0.491	1.18	6.162	13.979	12.799	4.641	0.631	20.788	0.932784	0.173	0.0994	-22.085	-21.846
SPAC1002.12c	ssd1	viable	V	-0.452	-0.076	-0.0	0.364	3.001	7.138	6.773	2.196	-0.166	-7.036	0.100822	0.329	0.306525	-11.792	-11.554
SPAC1002.13c	psu1	inviable	E	2.649	0.444	-0.0	0.364	3.001	7.138	6.773	2.196	0.975	41.268	0.605587	0.573	0.190159	-2.922	-2.684
SPAC1002.14	itt1	viable	V	1.543	0.073	0.844	2.141	11.52	26.238	24.097	8.657	0.568	11.95	0.651783	0.296	0.183724	-13.46	-13.221
SPAC1002.15c	med6	viable	V	2.356	0.132	1.869	2.954	10.808	23.13	20.176	8.41	0.867	19.026	0.993957	0.056	0.027982	-40.249	-40.011
SPAC1002.16c	tna1	inviable	E	0.175	0.029	-0.0	0.364	3.001	7.138	6.773	2.196	0.064	2.728	-0.587493	0.115	0.418329	-28.6	-28.361
SPAC1002.17c	urg2	viable	V	-0.718	0.12	1.587	1.222	-1.414	-5.551	-6.773	-0.609	-0.264	-0.207	-0.461579	0.28	0.442006	-14.354	-14.116
SPAC1002.18	urg3	viable	V	0.364	0.061	-0.0	0.364	3.001	7.138	6.773	2.196	0.134	5.664	0.256852	0.106	0.235537	-29.91	-29.672
SPAC1002.19	urg1	viable	V	0.881	0.04	-0.0	1.348	11.1	26.403	25.055	8.123	0.324	7.133	0.264472	0.207	0.27271	-19.202	-18.963
SPAC1002.20	SPAC1002.20	viable	V	-0.239	-0.031	-0.0	0.471	3.88	9.229	8.758	2.839	-0.088	-3.486	0.898027	0.03	0.113079	-50.063	-49.824
SPAC1006.01	psp3	viable	V	3.276	-0.148	0.0	-1.347	-11.09	-26.378	-25.031	-8.115	1.205	0.498	0.233757	0.155	0.261475	-23.824	-23.585
SPAC1006.03c	red1	viable	V	2.44	0.219	-0.0	0.68	5.6	13.321	12.641	4.098	0.898	30.861	0.974213	0.146	0.058698	-24.834	-24.595
SPAC1006.04c	mcp3	viable	V	0.66	-0.031	0.0	-1.298	-10.684	-25.412	-24.115	-7.818	0.243	0.097	-0.343107	0.293	0.320152	-13.662	-13.424
SPAC1006.05c	och1	viable	V	3.208	0.537	-0.0	0.364	3.001	7.138	6.773	2.196	1.18	49.966	0.689284	0.657	0.219745	-0.72	-0.482
SPAC1006.06	rgf2	viable	V	0.45	0.023	0.0	1.205	9.924	23.606	22.4	7.262	0.166	3.985	0.3906	0.135	0.252085	-26.026	-25.787
SPAC1006.08	etd1	condition-dependent	E	1.794	0.301	-0.0	0.364	3.001	7.138	6.773	2.196	0.66	27.953	0.547946	0.559	0.18586	-3.304	-3.065
SPAC1006.09	win1	viable	V	0.934	0.137	0.666	1.081	4.085	8.799	7.718	3.168	0.344	13.502	0.980291	0.056	0.054525	-40.182	-39.943
SPAC1039.01	SPAC1039.01	viable	V	0.872	0.146	-0.0	0.364	3.001	7.138	6.773	2.196	0.321	13.587	0.441537	0.3	0.235844	-13.251	-13.013
SPAC1039.02	efn2	viable	V	-1.0	0.049	1.575	0.323	-8.733	-22.944	-23.268	-5.968	-0.368	-0.278	-3.855077	0.167	0.589741	-22.646	-22.408
SPAC1039.03	SPAC1039.03	viable	V	0.114	0.005	-0.0	1.348	11.1	26.403	25.054	8.123	0.042	0.925	-0.272823	0.365	0.354721	-10.141	-9.903
SPAC1039.04	SPAC1039.04	viable	V	0.257	0.012	0.0	1.348	11.1	26.401	25.052	8.123	0.095	2.082	0.476248	0.06	0.24127	-39.059	-38.82
SPAC1039.05c	klf1	viable	V	0.092	0.015	-0.0	0.364	3.001	7.138	6.773	2.196	0.034	1.428	-0.065582	0.087	0.340486	-33.102	-32.864
SPAC1039.06	SPAC1039.06	viable	V	0.556	0.093	-0.0	0.364	3.001	7.138	6.773	2.196	0.205	8.667	0.894509	0.076	0.111308	-35.321	-35.083
SPAC1039.07c	SPAC1039.07c	viable	V	0.097	0.004	-0.0	1.348	11.1	26.403	25.055	8.123	0.036	0.783	0.077952	0.077	0.268714	-35.054	-34.816
SPAC1039.08	SPAC1039.08	viable	V	-0.156	-0.026	0.0	0.364	3.001	7.138	6.773	2.196	-0.057	-2.43	0.210573	0.118	0.260744	-28.213	-27.974
SPAC1039.09	isp5	viable	V	0.942	0.143	-0.0	0.404	3.323	7.905	7.501	2.432	0.347	14.321	0.357783	0.315	0.256389	-12.465	-12.226
SPAC1039.10	mmf2	viable	V	1.044	0.175	1.382	1.746	4.383	8.52	6.773	3.578	0.384	14.859	0.60563	0.458	0.229025	-6.484	-6.246
SPAC1039.11c	gto1	viable	V	0.256	0.012	0.0	1.348	11.1	26.402	25.054	8.123	0.094	2.07	0.049759	0.171	0.307499	-22.232	-21.993
SPAC105.01c	kha1	viable	V	0.764	0.055	8.104	8.957	15.13	24.817	15.86	13.246	0.281	3.358	0.802788	0.117	0.132868	-28.285	-28.047
SPAC105.02c	ank1	viable	V	0.641	0.107	5.132	5.497	8.133	12.27	6.773	7.328	0.236	6.722	0.749995	0.189	0.177751	-20.615	-20.377
SPAC105.03c	dal81	viable	V	2.11	0.259	13.943	14.44	18.034	23.674	9.234	16.937	0.776	3.624	0.886712	0.135	0.103089	-26.071	-25.833
SPAC1071.01c	pta1	inviable	E	0.903	0.151	-0.0	0.364	3.001	7.138	6.773	2.196	0.332	14.063	-0.402165	0.614	0.322219	-1.809	-1.57
SPAC1071.02	mms19	viable	V	2.425	0.241	0.519	1.133	5.572	12.537	11.404	4.217	0.892	30.933	0.986719	0.106	0.044467	-29.881	-29.642
SPAC1071.03c	sil1	viable	V	1.354	-0.073	3.477	2.341	-5.876	-18.769	-21.11	-3.367	0.498	0.76	0.231005	0.246	0.265695	-16.419	-16.181
SPAC1071.04c	spc2	viable	V	2.253	0.285	0.753	1.236	4.729	10.211	8.975	3.663	0.829	30.938	0.929831	0.26	0.090951	-15.574	-15.336
SPAC1071.05	hpm1	viable	V	0.614	0.103	-0.0	0.364	3.001	7.138	6.773	2.196	0.226	9.566	-0.239792	0.47	0.39629	-6.08	-5.842
SPAC1071.06	arp9	viable	V	3.178	0.247	-0.0	0.787	6.479	15.411	14.624	4.741	1.169	37.32	0.961602	0.215	0.074285	-18.562	-18.324
SPAC1071.08	rpp203	viable	V	-0.304	0.051	6.785	6.42	3.784	-0.353	-6.773	4.589	-0.112	-1.091	0.173394	0.322	0.271776	-12.115	-11.877
SPAC1071.09c	djc9	viable	V	1.092	0.053	1.529	2.783	11.86	26.104	23.321	9.089	0.402	8.137	0.77484	0.167	0.170283	-22.599	-22.361
SPAC1071.11	coq12	condition-dependent	V	0.899	0.151	9.944	10.308	12.945	17.082	6.773	12.14	0.331	5.183	0.846431	0.161	0.123666	-23.208	-22.97
SPAC1071.12c	stp1	viable	V	-0.257	0.043	14.238	13.874	11.237	7.1	-6.773	12.042	-0.095	-2.77	-0.218081	0.146	0.385067	-24.835	-24.597
SPAC1071.13	SPAC1071.13	unknown	Not_determined	-0.718	-0.12	0.943	1.308	3.944	8.081	6.773	3.139	-0.264	-10.536	0.352093	0.516	0.299228	-4.581	-4.343
SPAC1093.01	ppr5	viable	V	0.344	0.058	2.885	3.25	5.886	10.023	6.773	5.081	0.126	4.377	0.527472	0.16	0.211438	-23.337	-23.098
SPAC1093.02	pdx3	viable	V	-0.901	-0.151	-0.0	0.364	3.001	7.138	6.773	2.196	-0.331	-14.029	0.506838	0.199	0.209732	-19.862	-19.624
SPAC1093.03	fig4	viable	V	-0.577	-0.097	-0.0	0.364	3.001	7.138	6.773	2.196	-0.212	-8.984	0.948554	0.051	0.080768	-41.702	-41.464
SPAC1093.06c	dhc1	viable	V	0.339	0.018	0.0	1.132	9.321	22.171	21.039	6.821	0.125	3.149	0.742736	0.064	0.151617	-38.024	-37.786
SPAC10F6.01c	sir1	viable	V	-0.671	-0.112	3.552	3.916	6.553	10.69	6.773	5.748	-0.247	-8.102	0.055387	0.854	0.307526	3.481	3.719
SPAC10F6.02c	prp22	inviable	E	3.815	0.232	1.21	2.216	9.487	20.896	18.681	7.267	1.404	34.709	0.967353	0.227	0.067592	-17.736	-17.498
SPAC10F6.04	ats1	viable	V	2.605	0.199	-0.0	0.799	6.583	15.657	14.858	4.817	0.958	30.321	0.939643	0.207	0.079843	-19.186	-18.947
SPAC10F6.05c	ubc6	viable	V	0.259	0.043	-0.0	0.364	3.001	7.138	6.773	2.196	0.095	4.028	-0.217463	0.131	0.362216	-26.506	-26.268
SPAC10F6.06	vip1	viable	V	2.376	-0.108	0.0	-1.348	-11.1	-26.403	-25.055	-8.123	0.874	0.362	0.118073	0.203	0.2661	-19.552	-19.314
SPAC10F6.07c	mug94	viable	V	-1.0	0.157	0.007	-0.381	-3.187	-7.59	-7.209	-2.33	-0.368	-0.044	0.003851	0.423	0.302349	-7.755	-7.517
SPAC10F6.08c	nht1	viable	V	3.073	0.237	-0.0	0.793	6.526	15.523	14.73	4.776	1.131	35.943	0.895567	0.33	0.098589	-11.749	-11.511
SPAC10F6.09c	psm3	condition-dependent	E	1.135	0.19	1.747	2.111	4.748	8.885	6.773	3.943	0.418	15.748	0.610153	0.497	0.208113	-5.181	-4.942
SPAC10F6.10	rio1	inviable	E	2.229	0.373	-0.0	0.364	3.001	7.138	6.773	2.196	0.82	34.718	0.914766	0.236	0.105116	-17.075	-16.837
SPAC10F6.11c	atg17	viable	V	-0.808	-0.135	-0.0	0.364	3.001	7.138	6.773	2.196	-0.297	-12.582	0.761184	0.136	0.141191	-25.876	-25.637
SPAC10F6.12c	mam4	viable	V	-0.977	0.044	0.0	-1.348	-11.1	-26.402	-25.053	-8.123	-0.359	-0.149	-0.341053	0.19	0.375675	-20.596	-20.357
SPAC10F6.13c	caa1	viable	V	2.576	0.431	3.328	3.692	6.329	10.466	6.773	5.524	0.947	31.664	0.962259	0.236	0.075104	-17.11	-16.871
SPAC10F6.14c	SPAC10F6.14c	viable	V	0.318	0.014	0.0	1.348	11.1	26.403	25.055	8.123	0.117	2.573	0.461427	0.108	0.258712	-29.666	-29.427
SPAC10F6.15	SPAC10F6.15	viable	V	1.075	0.18	-0.0	0.364	3.001	7.138	6.773	2.196	0.395	16.746	0.241508	0.698	0.372704	0.241	0.479
SPAC10F6.16	igo1	viable	V	0.575	0.029	2.014	3.239	12.102	26.009	22.77	9.396	0.212	4.164	0.377926	0.223	0.259677	-18.005	-17.767
SPAC10F6.17c	ptc5	viable	V	0.893	0.15	3.602	3.966	6.602	10.739	6.773	5.798	0.328	10.733	0.664172	0.354	0.181566	-10.613	-10.375
SPAC110.01	ppk1	viable	V	0.923	0.077	0.372	1.102	6.383	14.67	13.567	4.771	0.34	10.965	0.925124	0.094	0.108375	-31.783	-31.544
SPAC110.02	pds5	viable	V	2.093	0.332	-0.0	0.385	3.166	7.531	7.146	2.317	0.77	32.202	0.984698	0.099	0.045109	-30.964	-30.725
SPAC110.04c	pss1	condition-dependent	E	2.09	0.35	-0.0	0.364	3.001	7.138	6.773	2.196	0.769	32.559	0.367779	0.52	0.272704	-4.478	-4.24
SPAC110.06	SPAC110.06	viable	Not_determined	1.124	0.188	-0.0	0.364	3.001	7.138	6.773	2.196	0.413	17.507	-0.194218	0.551	0.324521	-3.526	-3.288
SPAC1142.01	rqc1	viable	V	-0.7	-0.117	-0.0	0.364	3.001	7.138	6.773	2.196	-0.257	-10.902	0.835919	0.106	0.131833	-29.85	-29.612
SPAC1142.02c	sgt2	viable	V	-0.455	-0.073	0.0	0.379	3.121	7.423	7.044	2.284	-0.167	-7.018	0.656084	0.127	0.196834	-27.072	-26.834
SPAC1142.03c	swi2	viable	V	0.509	-0.024	0.0	-1.291	-10.633	-25.292	-24.0	-7.781	0.187	0.074	-0.731736	0.195	0.419383	-20.155	-19.917
SPAC1142.05	ctr5	viable	V	3.398	0.254	0.77	1.588	7.504	16.788	15.2	5.698	1.25	36.722	0.995157	0.084	0.025934	-33.636	-33.398
SPAC1142.06	get3	viable	V	0.792	0.133	0.132	0.496	3.133	7.27	6.773	2.328	0.291	12.232	0.86007	0.136	0.129199	-25.977	-25.739
SPAC1142.07c	vps32	viable	V	3.012	0.22	-0.0	0.837	6.893	16.396	15.559	5.044	1.108	34.153	0.979832	0.146	0.049084	-24.789	-24.551
SPAC1142.08	fhl1	viable	V	1.989	0.23	5.811	6.34	10.164	16.165	9.825	8.997	0.732	16.663	0.898978	0.261	0.108985	-15.491	-15.252
SPAC1142.09	SPAC1142.09	unknown	Not_determined	1.158	-0.191	0.0	-0.369	-3.043	-7.238	-6.868	-2.227	0.426	0.048	-0.833448	0.237	0.425602	-17.06	-16.821
SPAC11D3.02c	SPAC11D3.02c	viable	V	-0.062	-0.006	0.0	0.633	5.212	12.397	11.764	3.814	-0.023	-0.809	0.105412	0.145	0.292688	-24.91	-24.671
SPAC11D3.03c	SPAC11D3.03c	viable	V	-0.377	0.056	0.0	-0.409	-3.366	-8.006	-7.597	-2.463	-0.139	-0.017	0.014511	0.103	0.314767	-30.331	-30.092
SPAC11D3.04c	SPAC11D3.04c	viable	V	-0.002	0.0	0.0	-0.432	-3.558	-8.463	-8.03	-2.604	-0.001	-0.0	-0.770011	0.066	0.41203	-37.408	-37.17
SPAC11D3.05	mfs2	viable	V	-0.404	-0.068	-0.0	0.364	3.001	7.138	6.773	2.196	-0.149	-6.297	0.59163	0.103	0.23271	-30.427	-30.188
SPAC11D3.06	SPAC11D3.06	viable	V	0.359	0.035	-0.0	0.624	5.135	12.215	11.591	3.758	0.132	4.718	0.370812	0.104	0.272016	-30.186	-29.947
SPAC11D3.07c	toe4	viable	V	0.533	0.026	1.352	2.618	11.773	26.139	23.521	8.978	0.196	4.01	0.896984	0.058	0.104066	-39.653	-39.415
SPAC11D3.08c	SPAC11D3.08c	viable	V	1.246	0.209	15.627	15.991	18.628	22.764	6.773	17.823	0.458	1.339	0.442684	0.25	0.23205	-16.156	-15.918
SPAC11D3.09	agm1	viable	V	0.314	0.053	-0.0	0.364	3.001	7.138	6.773	2.196	0.115	4.89	0.428343	0.121	0.235882	-27.728	-27.49
SPAC11D3.10	SPAC11D3.10	viable	V	1.111	0.05	0.0	1.348	11.1	26.403	25.055	8.123	0.409	8.994	0.827869	0.131	0.149221	-26.537	-26.299
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	-0.071	-0.012	1.407	1.773	4.42	8.573	6.801	3.612	-0.026	-1.009	0.055943	0.169	0.302539	-22.406	-22.167
